,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,5994,Shiba Inu,SHIB,shiba-inu,749,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,11,,,,2024-03-04T11:41:00.000Z,2.5828980789209747e-05,4173890826.7000675,-2.9994,1.22571113,18.31686904,171.7782363,184.32252485,167.93956744,185.94100471,15220744871.165726,0.6274,15227064594.57,,2024-03-04T11:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-03-04 18:43:35.912976
11,6636,Polkadot,DOT,polkadot-new,697,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1285569190.4119499,1417829692.1203015,True,,12,,,,2024-03-04T11:41:00.000Z,9.984877659348085,785029526.9166986,38.454,0.54113697,8.91518704,30.78709796,45.1814469,29.83090345,80.46332716,12836251088.890482,0.5291,14156856017.61,,2024-03-04T11:41:00.000Z,,,,,,2024-03-04 18:43:35.912976
12,1958,TRON,TRX,tron,937,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87951758864.37387,87951844619.68097,True,,13,71659659264.0,10095759285.57003,,2024-03-04T11:41:00.000Z,0.14088483519544007,363898959.3793951,19.9575,0.08648525,0.36304126,2.09910231,21.22806955,31.57563931,37.06083707,12391069052.756397,0.5107,12391081134.38,,2024-03-04T11:41:00.000Z,,,,,,2024-03-04 18:43:35.912976
13,1975,Chainlink,LINK,chainlink,1664,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,14,,,,2024-03-04T11:41:00.000Z,20.430094177296482,566327354.7619263,-26.793,0.14776657,-0.11426161,12.08383569,13.8775702,42.47215711,33.62252704,11994507687.838413,0.4945,20430094177.3,,2024-03-04T11:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-03-04 18:43:35.912976
14,3890,Polygon,MATIC,polygon,1297,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9899142960.602293,10000000000.0,False,,15,,,,2024-03-04T11:41:00.000Z,1.0946938096650993,693356228.787517,-18.253,0.42343749,1.91455731,10.54946244,38.87548569,26.9257417,38.55340722,10836530519.961174,0.447,10946938096.65,,2024-03-04T11:41:00.000Z,,,,,,2024-03-04 18:43:35.912976
15,11419,Toncoin,TON,toncoin,206,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3468170935.7718573,5103681976.911533,True,,16,3414166606.0,9243168982.743858,,2024-03-04T11:42:00.000Z,2.7072987494224994,78447300.59924442,9.8656,0.42958442,2.47226083,28.08644349,32.81368595,22.61950743,14.63397834,9389374837.198608,0.387,13817191833.54,,2024-03-04T11:42:00.000Z,,,,,,2024-03-04 18:43:35.912976
16,1831,Bitcoin Cash,BCH,bitcoin-cash,849,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19659368.75,19659368.75,False,,17,,,,2024-03-04T11:41:00.000Z,456.2148105860781,1330767138.3719218,-55.2034,-1.18967631,-5.20622777,73.25006713,90.41082447,93.45056401,90.68425833,8968895190.523113,0.3697,9580511022.31,,2024-03-04T11:41:00.000Z,,,,,,2024-03-04 18:43:35.912976
17,7083,Uniswap,UNI,uniswap,950,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem']",1000000000.0,598736139.71,1000000000.0,False,,18,,,1.32813737,2024-03-04T11:41:00.000Z,12.61857811267361,348085677.2064227,-19.5572,2.63089047,-0.81335658,19.7569649,104.78264734,92.29553657,109.87566395,7555198747.8112955,0.3114,12618578112.67,5688567267.77013,2024-03-04T11:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2024-03-04 18:43:35.912976
18,2,Litecoin,LTC,litecoin,1122,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,74272393.60750493,84000000.0,False,,19,,,,2024-03-04T11:42:00.000Z,90.31213949824462,646293312.5468912,-30.013,0.4788124,-0.50845478,29.86154809,32.37232158,38.37392294,25.82143701,6707698772.349518,0.2765,7586219717.85,,2024-03-04T11:42:00.000Z,,,,,,2024-03-04 18:43:35.912976
19,8916,Internet Computer,ICP,internet-computer,218,2021-03-23T00:00:00.000Z,"['platform', 'distributed-computing', 'collectibles-nfts', 'defi', 'privacy', 'interoperability', 'smart-contracts', 'dao', 'wallet', 'storage', 'polychain-capital-portfolio', 'governance', 'launchpad', 'lending-borowing', 'metaverse', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'internet-computer-ecosystem', 'bitcoin-ecosystem', 'real-world-assets', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",,459603968.8127112,515022189.01348746,True,,20,459604005.9786363,6095298522.863444,,2024-03-04T11:41:00.000Z,13.262065699111359,225166148.7307304,17.0215,0.47026391,1.2097788,8.65822353,-0.88933374,-4.6179992,168.54189174,6095298029.966504,0.2514,6830258107.2,,2024-03-04T11:41:00.000Z,8916.0,ICP,ICP,internet-computer,ryjl3-tyaaa-aaaaa-aaaba-cai,2024-03-04 18:43:35.912976
